id,COUNTY,Longitude,Latitude
1,Turkana,35.4349573991,3.4129637698
2,Marsabit,37.567986408,2.980503399
3,Mandera,40.7366533265,3.4383995572
4,Wajir,40.0335562207,1.8097093781
5,West Pokot,35.2430956265,1.7273353582
6,Samburu,37.1167961771,1.3198767833
7,Isiolo,38.5390959325,1.0118258727
8,Baringo,35.9403252899,0.6764344116
9,Garissa,40.1807944585,-0.4883645769
10,Laikipia,36.7625216203,0.3238647879
11,Meru,37.7601787952,0.1717661238
12,Tharaka,37.8717076032,-0.1990281352
13,Nyeri,36.9538288549,-0.3430761406
14,Tana River,39.4121650717,-1.5571553143
15,Kitui,38.4058441501,-1.485903041
16,Embu,37.6251901114,-0.601300591
17,Narok,35.5752789747,-1.2539187865
18,Machakos,37.4056478978,-1.2898526431
19,Kajiado,36.9091278925,-2.1206497316
20,Makueni,37.7996736652,-2.1661981185
21,Lamu,40.7662862449,-2.0395596407
22,Kilifi,39.6831428937,-3.1731361179
23,Taita Taveta,38.4181000774,-3.4324580742
24,Kwale,39.1515559987,-4.1390576701
