id,Conservanc,GrazingBlo,Longitude,Latitude
1,West Gate,Lmuge,37.4214802015,0.6510802283
2,West Gate,Lemparas_Sirata,37.3691200605,0.8480733707
3,West Gate,Nagor owuaru,37.2772238788,0.7831716806
4,West Gate,Lewerer,37.2831577845,0.7610880078
5,West Gate,Nkaika,37.3241314411,0.7213264858
6,West Gate,Nelearamo,37.3256214561,0.695017815
7,West Gate,Core Area,37.3415651303,0.6589637388
8,West Gate,Lonkurare,37.3692680183,0.6096184556
9,West Gate,Lolkerpei,37.4198033417,0.5942141981
10,West Gate,Lmanture,37.4377071368,0.637660799
11,West Gate,Lpus,37.4289930474,0.610994972
12,West Gate,Nolgoroochi,37.4652537051,0.6184874511
13,West Gate,Lesantaiti,37.3926294089,0.6015309593
14,West Gate,Noltilimani,37.3999020582,0.6376023865
15,West Gate,Ldelgesi,37.4054404639,0.6165535511
16,West Gate,Nolturot,37.4767030759,0.6513840017
17,West Gate,Nolbenia,37.4378838112,0.7412378614
18,West Gate,Loijuk,37.4067910381,0.747606916
19,West Gate,Ilmoti_Loolayiok,37.3634506428,0.7286777539
20,West Gate,Lesiteti,37.36475955,0.691218779
21,West Gate,No name,37.348759913,0.7050433807
22,West Gate,Lesiteti,37.4028059788,0.7020534652
23,West Gate,Loijuk,37.3813516712,0.7501607779
24,West Gate,Lalmancheri,37.4172748197,0.7005896624
25,West Gate,Buffer Zone,37.3784476756,0.6648469029
26,West Gate,Namparian,37.4359071644,0.7571618564
27,West Gate,Lolua,37.3850369115,0.8087432114
28,West Gate,Nabelibeli plains,37.3166298309,0.8307341043
29,West Gate,Grazing guard,37.2831204937,0.823775844
30,West Gate,Lmariin,37.2992902778,0.8500372822
31,West Gate,Narapai,37.338023599,0.8591859169
32,West Gate,Nosuyani,37.281285839,0.8026284858
33,West Gate,Loilien,37.3208921666,0.8006654673
34,West Gate,Nchoroi,37.3064212673,0.7528607325
35,West Gate,Ilmoto lenkop,37.3486895994,0.8112368961
36,West Gate,Lempaute plains,37.3341946366,0.7604430162
37,West Gate,Napiru,37.4060636058,0.8476835844
38,West Gate,Lesiteti,37.3818954873,0.7053937804
39,Sera,Nasasani,37.8422859386,1.362941437
40,Sera,Nolkoki,37.9171154297,1.3348651073
41,Sera,Nalmayo,37.7545574362,1.2959006567
42,Sera,Serteta,37.8456224936,1.2572194381
43,Sera,Lkiperiperiah,37.8283860298,1.1268013051
44,Sera,Nolwao,37.6611864621,1.1860441491
45,Sera,Loltepes,37.7404316814,1.1404255799
46,Sera,Chapulo,37.725824486,1.038900466
47,Sera,Kauro,37.7545910745,1.0435431168
48,Sera,Lerigrig,37.7887201903,1.0366978264
49,Sera,Ntumot,37.6886720224,1.0448817433
50,Sera,Moto,37.9583547433,1.1003311688
51,Sera,Lanfana,37.9508860509,0.9886129614
52,Sera,Kapuru,37.8748762173,0.9922332105
53,Sera,Mpirish,37.7812933674,0.9685896124
