id	POINT_X	POINT_Y	clay_percent																						
1.000000	408663.854749	6473538.205330	32.7																						
12.000000	408713.661129	6473657.104290	24.4																						
16.000000	408994.899446	6473650.114340	21.4																						
18.000000	409114.692408	6473630.455950	27.5																						
24.000000	408862.996539	6473666.892010	14.4																						
31.000000	408728.462338	6473771.635720	29.5																						
43.000000	408987.090800	6473823.373580	20.9																						
44.000000	409072.559979	6473813.109810	21.3																						
46.000000	408617.347513	6473866.971560	29.0																						
52.000000	408951.196656	6473874.655580	18.0																						
56.000000	408618.037450	6473920.954770	20.4																						
60.000000	408809.527396	6473935.207170	22.8																						
70.000000	408948.836696	6473997.918950	22.0																						
75.000000	408691.058531	6474056.892180	23.1																						
80.000000	409014.893459	6474033.885410	22.7																						
82.000000	408577.753071	6474095.609830	23.7																						
89.000000	408336.575708	6474306.785790	17.9																						
93.000000	408276.831171	6474377.482710	15.8																						
95.000000	408403.494891	6474342.967220	16.6																						
101.000000	408986.673202	6473776.654557	34.5																						
